Duration(sec),Paket Loss Rate(Reliability),Packet Delay Budget(Latency(ms)),Bandwidth(GHz),Delay Rate(Mbps),Speed(Mbps),Jitter(ps),User Device Type,Modulation Type
1.0,0.9999999999999999,1.0,0.032258064516129115,1.0,0.34961003730078,0.5107913669064749,8,0
0.07407407407407408,0.9999999999999999,0.12244897959183673,0.29032258064516137,0.08139534883720931,0.8802984062394033,0.539568345323741,8,0
0.33333333333333337,0.0009000900090009002,0.9183673469387754,0.29032258064516137,0.034883720930232565,0.9393014581213972,0.827338129496403,8,0
0.11111111111111112,0.009900990099009901,0.22448979591836735,0.6774193548387096,0.034883720930232565,0.27568667344862663,1.0,8,0
0.0,0.0,0.9795918367346937,1.0,0.08139534883720931,0.6422516107154969,0.3669064748201439,8,0
0.33333333333333337,0.9999999999999999,0.4693877551020408,0.29032258064516137,0.040697674418604654,0.9511698880976603,0.1654676258992806,8,0
0.22222222222222227,0.9999999999999999,0.44897959183673464,1.0,0.563953488372093,0.11936249576127503,0.1654676258992806,8,0
0.0,0.9999999999999999,0.346938775510204,0.6774193548387096,0.5930232558139535,0.9321804001356393,0.827338129496403,8,0
0.0,0.0009000900090009002,0.4081632653061224,0.3548387096774194,0.563953488372093,0.07222787385554426,0.539568345323741,8,0
0.07407407407407408,0.9999999999999999,0.14285714285714285,0.5161290322580646,0.0,0.5669718548660564,0.1510791366906475,8,0
0.4444444444444445,0.009900990099009901,0.08163265306122448,0.29032258064516137,0.5930232558139535,0.17938284164123433,0.539568345323741,8,0
0.0,0.9999999999999999,0.16326530612244897,0.5161290322580646,0.0,0.11088504577822991,0.827338129496403,8,0
0.0,0.0009000900090009002,0.02040816326530612,0.3548387096774194,0.0,0.09630383180739234,0.4244604316546763,8,0
0.0,0.9999999999999999,0.5918367346938774,0.29032258064516137,0.034883720930232565,0.5378094269243812,0.1654676258992806,8,0
0.07407407407407408,0.009900990099009901,0.7142857142857142,0.29032258064516137,1.0,0.26619192946761616,0.0,8,0
0.4444444444444445,0.9999999999999999,0.24489795918367344,0.29032258064516137,0.034883720930232565,0.6670057646659886,1.0,8,0
0.4444444444444445,0.9999999999999999,0.0,0.6774193548387096,0.5930232558139535,0.9450661241098679,0.4244604316546763,8,0
0.4444444444444445,0.9999999999999999,0.5510204081632653,0.6774193548387096,0.563953488372093,0.42997626314004755,0.5107913669064749,8,0
0.0,0.0009000900090009002,0.4285714285714285,1.0,0.08139534883720931,0.5544252288911496,1.0,8,0
0.07407407407407408,0.9999999999999999,0.8979591836734693,0.5161290322580646,0.034883720930232565,0.7375381485249238,0.17985611510791366,8,0
1.0,0.009900990099009901,1.0,0.3548387096774194,0.5930232558139535,0.4432010851135979,0.1510791366906475,8,0
1.0,0.009900990099009901,0.693877551020408,0.29032258064516137,0.040697674418604654,0.3224821973550356,0.1654676258992806,8,0
0.22222222222222227,0.9999999999999999,0.4897959183673469,0.0,0.0,0.2722956934554086,0.539568345323741,8,0
0.4444444444444445,0.9999999999999999,0.18367346938775508,0.3548387096774194,0.5930232558139535,0.8952187182095627,0.1510791366906475,8,0
